title,price,comments,details_urls,shoop
农香森 杏干500g罐装 新疆红杏无吊干杏杏肉天然酸杏子 休闲零食果脯蜜饯,36.80,2000,https://item.m.jd.com/product/100024971588.html?_fd=jdm&amp;price=36.80&amp;fs=1,农香森京东自营旗舰店
新疆杏肉227g甘草杏无核大杏干酸甜杏脯小盒装蜜饯果 新疆杏肉227g*5盒,97.20,1,https://item.m.jd.com/product/10036995687276.html?_fd=jdm&amp;price=97.20&amp;fs=1,年顺休闲食品专营店
5折 新疆阿克苏树上吊死自然风干杏干孕妇零食果脯伊犁500克 小白杏干(杏味浓郁口感软糯),68.40,100,https://item.m.jd.com/product/70566230293.html?_fd=jdm&amp;price=68.40&amp;fs=1,初然食品专营店
神恋 新疆英吉沙杏肉 去核杏干天然无添加糖果脯蜜饯小孩孕妇休闲健康零食小吃果干 120g/罐装,25.90,19,https://item.m.jd.com/product/10034209892984.html?_fd=jdm&amp;price=25.90&amp;fs=1,田间口袋食品旗舰店
新疆特产2021年新货吊干杏500g一杏两吃自然风干蜜饯休闲零食果脯 新疆杏干500gx2袋（不加糖+原生态）,56.80,2000,https://item.m.jd.com/product/10026477913883.html?_fd=jdm&amp;price=56.80&amp;fs=1,中国特产·特克斯助农馆
【周周乐】 新疆无核杏干500g罐装杏肉休闲特产网红休闲零食品小吃果脯蜜饯果干 精品新鲜无核杏干罐装净重500g(500g*1罐）,29.80,500,https://item.m.jd.com/product/10030745151992.html?_fd=jdm&amp;price=29.80&amp;fs=1,周周乐旗舰店
腾飞荣达新疆吊干杏180g*1盒装杏干果脯蜜饯办公室休闲零食 腾飞吊干杏180g*2盒,37.74,1,https://item.m.jd.com/product/10038908173490.html?_fd=jdm&amp;price=37.74&amp;fs=1,弘康鑫协零食专营店
新疆杏干无核黑杏脯土耳其甜杏肉500g原味非散装 无核黑杏干250g*1袋,35.40,2,https://item.m.jd.com/product/10036674661112.html?_fd=jdm&amp;price=35.40&amp;fs=1,甜甜食品专营店
锐锐果 新疆特产喀什大黑杏干500g天然无添加大丑杏肉厚树上吊干杏一杏两吃杏干孕妇零食果干无熏制杏干,32.90,100,https://item.m.jd.com/product/10028871641866.html?_fd=jdm&amp;price=32.90&amp;fs=1,锐锐果官方旗舰店
西域皇后奶枣 奶枣西域皇后奶枣500g网红奶酪枣夹心枣牛奶红枣夹杏仁新疆 【含巴旦木仁】奶枣500g*1包,68.00,22,https://item.m.jd.com/product/10035422752762.html?_fd=jdm&amp;price=68.00&amp;fs=1,迈芙休闲食品旗舰店
山西特产休闲零食杏肉杏条阳高杏脯500g×3袋无核新疆杏干条 偏甜杏条3袋,84.00,100,https://item.m.jd.com/product/69885885444.html?_fd=jdm&amp;price=84.00&amp;fs=1,好味铺园艺专营店
1000g新疆杏干吊干特级杏干 杏子 树上干杏 自然风干 吊干杏,95.00,87,https://item.m.jd.com/product/47741969604.html?_fd=jdm&amp;price=95.00&amp;fs=1,永顺零食专营店
【奎屯馆】新疆伊犁果丹皮 380g/盒 苹果杏子树莓卷零食果干办公室小吃儿时怀旧酸甜爽口开胃 杏子180g*2盒,39.80,76,https://item.m.jd.com/product/10023698486936.html?_fd=jdm&amp;price=39.80&amp;fs=1,中国特产·奎屯馆
利吉氏金杏干利金杏干吉氏甜杏果干酸酸甜甜g*6袋装零食 利吉氏金杏干100g*9袋g,163.70,32,https://item.m.jd.com/product/10038145329067.html?_fd=jdm&amp;price=163.70&amp;fs=1,翔京旗舰店
土耳其杏干无添加天然新疆特产大黑杏脯无核甜杏肉原味 黑杏干250g*4袋,175.80,2,https://item.m.jd.com/product/10034216517808.html?_fd=jdm&amp;price=175.80&amp;fs=1,璀璨食品专营店
新疆吊干杏新鲜吊死干树上杏干农家500g天然2斤 新疆吊干杏1000g,113.00,200,https://item.m.jd.com/product/56452218981.html?_fd=jdm&amp;price=113.00&amp;fs=1,空间之锋农资专营店
新疆杏干伊犁树上干杏无添加自然晾晒新货特产四团吊死干杏干 特级吊干杏500克1袋,77.10,0,https://item.m.jd.com/product/10035852424580.html?_fd=jdm&amp;price=77.10&amp;fs=1,大伟食品专营店
抹茶味小奶枣杏心奶枣巧克力香芋味奶油夹心枣新疆灰枣巴旦木零食 (抹茶味巴旦木奶枣)260克装,64.80,1,https://item.m.jd.com/product/10040192410643.html?_fd=jdm&amp;price=64.80&amp;fs=1,芭尔咪零食专营店
新疆特产伊犁树上干杏天然无自然风干杏两吃的杏干500g1 二级1000g,84.00,41,https://item.m.jd.com/product/71743582077.html?_fd=jdm&amp;price=84.00&amp;fs=1,班之宇食品专营店
【沙漠玉珠】21年新货新疆特产大杏干无核黑杏干杏肉零食自然原味500g果干不加糖香甜软糯肉厚劲道 新疆无核大杏干500克*2袋,79.80,500,https://item.m.jd.com/product/68345231570.html?_fd=jdm&amp;price=79.80&amp;fs=1,沙漠玉珠旗舰店
杏干土耳其进口500g原味无核无添加红杏干黄杏干黑杏干新疆杏肉杏脯 黑杏干 250g*2 共两包,49.90,5000,https://item.m.jd.com/product/45867693909.html?_fd=jdm&amp;price=49.90&amp;fs=1,添霖食品专营店
新疆特产土耳其黄杏脯 大黑杏干 无核杏肉厚 黑杏500g,45.00,100,https://item.m.jd.com/product/32062068747.html?_fd=jdm&amp;price=45.00&amp;fs=1,乐图生鲜专营店
新疆特产伊犁树上吊杏干自然风干杏原味500g 喀什大杏干1000g,50.65,0,https://item.m.jd.com/product/10034970192740.html?_fd=jdm&amp;price=50.65&amp;fs=1,班房食品专营店
山西特产休闲零食杏肉杏条阳高杏脯500g×3袋无核新疆杏干条 偏甜杏条2袋,63.00,100,https://item.m.jd.com/product/69885885448.html?_fd=jdm&amp;price=63.00&amp;fs=1,好味铺园艺专营店
【满299 减200】西域美农 大白杏干250g/袋 新疆特产 蜜饯果干 杏脯大白干杏孕妇零食,49.90,2000,https://item.m.jd.com/product/10414559490.html?_fd=jdm&amp;price=49.90&amp;fs=1,西域美农官方旗舰店
