标题,图片链接,详情页,价格,运费,所在地,销量,评论数,店铺名称,标识
新疆特产吊干杏干特级库车小白杏干无添加天然晾晒吊死干无糖500g,https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/711480404/O1CN011Er4S7dTwiC9joY_!!711480404.jpg,https://item.taobao.com/item.htm?id\u003d43520290573\u0026ns\u003d1\u0026abbucket\u003d16#detail,39.50,0.00,新疆乌鲁木齐,300+,2785,huanhuantete,['金牌卖家从千万卖家中脱颖而出，会为您的购物体验带来更多信任和安心']
杏干杏脯500g红杏干无果脯新疆添加黄杏肉仁天然酸甜果干蜜饯零食,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/3075990848/O1CN01thhNEr1I8QaYuLGAB_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id\u003d631888316676\u0026ns\u003d1\u0026abbucket\u003d16,17.80,30.00,浙江杭州,300+,2071,恒超旗舰店,['尚天猫，就购了']
21年新货四团吊干杏新疆特产树上干杏天然无添加杏干新疆杏干特级,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/305689457/O1CN01HZD8uT2JjMIeDGzIr_!!305689457.jpg,https://item.taobao.com/item.htm?id\u003d594350420069\u0026ns\u003d1\u0026abbucket\u003d16#detail,23.00,0.00,新疆阿克苏,300+,1535,生活的静士,"['金牌卖家从千万卖家中脱颖而出，会为您的购物体验带来更多信任和安心', '公益宝贝']"
新疆阿克苏四团兵团小红杏天然树上吊死干大甜杏干无添加特级500g,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/2207255548878/O1CN01H7Ohmk2FSAyZGfyFB_!!2207255548878.jpg,https://item.taobao.com/item.htm?id\u003d632645739766\u0026ns\u003d1\u0026abbucket\u003d16#detail,35.80,0.00,新疆阿克苏,300+,311,tb495036352,['公益宝贝']
杏干500g吊干杏脯新疆树上干红杏子肉蜜饯果脯酸甜儿童孕妇零食,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/4011009334/O1CN01WAUiTg2Ip1YD3Gg7T_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id\u003d642735910492\u0026ns\u003d1\u0026abbucket\u003d16,12.80,0.00,浙江杭州,300+,7341,果仁乐旗舰店,['尚天猫，就购了']
杏干杏脯500g非新疆杏子肉果脯干无核添加红杏干酸甜果干蜜饯零食,https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/2200533709948/O1CN01S9cy892NMEj5gb8MI_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id\u003d639139295923\u0026ns\u003d1\u0026abbucket\u003d16,15.80,20.00,浙江杭州,200+,1491,比比妙旗舰店,['尚天猫，就购了']
土耳其大杏干杏脯非新疆树上干杏无核杏干特产天然杏肉零食非蜜饯,https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/1061537639/O1CN01lWQEQD26IiF6QE8e6_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id\u003d649636739757\u0026ns\u003d1\u0026abbucket\u003d16,12.80,0.00,新疆乌鲁木齐,200+,440,丝路亚心旗舰店,"['尚天猫，就购了', '公益宝贝']"
新疆特产伊犁树上杏干吊死干杏脯干杏肉500g包邮,https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/178074208/O1CN01kL7Tgs1gxJNDZY61f_!!0-item_pic.jpg,https://item.taobao.com/item.htm?id\u003d577878937754\u0026ns\u003d1\u0026abbucket\u003d16#detail,28.70,0.00,新疆乌鲁木齐,200+,1966,新疆超级风味特产,['金牌卖家从千万卖家中脱颖而出，会为您的购物体验带来更多信任和安心']
土耳其大黑杏干儿甜非新疆杏肉添加无天然杏脯孕妇无核非吊干杏,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/3429272592/O1CN01Tia3Fx1V1BGv5fkgp_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id\u003d641591884985\u0026ns\u003d1\u0026abbucket\u003d16,15.90,150.00,新疆乌鲁木齐,200+,2069,尚蜜特食品旗舰店,"['尚天猫，就购了', '公益宝贝']"
新疆杏干500g罐装零食小吃休闲食品无核添加天然果脯吊干偏酸蜜饯,https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/3316906087/O1CN01qR3hHh1uptZ1Kxq3q_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id\u003d657452654124\u0026ns\u003d1\u0026abbucket\u003d16,24.80,200.00,浙江杭州,200+,314,香先笙旗舰店,"['尚天猫，就购了', '当季新品']"
