raw_title,detail_url,view_price,view_fee,item_loc,view_sales,comment_count,user_id,nick,icon,comment_url,shopLink,shopcard.isTmall
杏干 内蒙古呼伦贝尔杏脯 新疆口味酸甜零食,//item.taobao.com/item.htm?id=650187239604&ns=1&abbucket=10#detail,28.0,550.0,内蒙古 呼伦贝尔,0,20.0,166386155,宝宝猪1218,['公益宝贝'],//item.taobao.com/item.htm?id=650187239604&ns=1&abbucket=10&on_comment=1,//store.taobao.com/shop/view_shop.htm?user_number_id=166386155,False
新疆吊杏干树上吊干杏600g*袋（内含两小袋）,//item.taobao.com/item.htm?id=657812679604&ns=1&abbucket=10#detail,62.1,10.0,四川 成都,0,,2212483797390,袁果果总店,[],//item.taobao.com/item.htm?id=657812679604&ns=1&abbucket=10&on_comment=1,//store.taobao.com/shop/view_shop.htm?user_number_id=2212483797390,False
无核大杏干土耳其杏脯杏肉无糖无添加杏子干新疆特产休闲零食500g,//detail.tmall.com/item.htm?id=658585234418&ns=1&abbucket=10,33.35,0.0,新疆 吐鲁番,0,,2770321092,黄吉利旗舰店,"['天猫宝贝', '新品']",//detail.tmall.com/item.htm?id=658585234418&ns=1&abbucket=10&on_comment=1,//store.taobao.com/shop/view_shop.htm?user_number_id=2770321092,True
新疆风味红杏干杏脯500g吊干杏杏肉树上酸杏休闲零食罐装果脯蜜饯,//item.taobao.com/item.htm?id=657814787631&ns=1&abbucket=10#detail,49.0,999.0,北京,0,,2212729459180,溜溜球零嘴,[],//item.taobao.com/item.htm?id=657814787631&ns=1&abbucket=10&on_comment=1,//store.taobao.com/shop/view_shop.htm?user_number_id=2212729459180,False
蔚县杏干酸甜无添加无核大酸杏干孕妇零食非山西新疆特产果干杏脯,//detail.tmall.com/item.htm?id=660040398950&ns=1&abbucket=10,21.9,0.0,河北 张家口,0,,2212795096575,盼熹归食品旗舰店,"['天猫宝贝', '新品']",//detail.tmall.com/item.htm?id=660040398950&ns=1&abbucket=10&on_comment=1,//store.taobao.com/shop/view_shop.htm?user_number_id=2212795096575,True
杏干500g散装无核红杏条添加天然杏子酸甜蜜饯果干鲜杏脯肉非新疆,//item.taobao.com/item.htm?id=663517906015&ns=1&abbucket=10#detail,11.8,25.0,浙江 杭州,0,,3370194254,嘟嘟馋嘴屋,[],//item.taobao.com/item.htm?id=663517906015&ns=1&abbucket=10&on_comment=1,//store.taobao.com/shop/view_shop.htm?user_number_id=3370194254,False
新疆特产杏干无添加天然土耳其大黑杏脯无核无糖杏肉果脯零食500g,//detail.tmall.com/item.htm?id=663198805075&ns=1&abbucket=10,40.05,25.0,江苏 泰州,0,,3349650290,爪客旗舰店,"['天猫宝贝', '新品']",//detail.tmall.com/item.htm?id=663198805075&ns=1&abbucket=10&on_comment=1,//store.taobao.com/shop/view_shop.htm?user_number_id=3349650290,True
杏干无添加天然偏酸新疆特产特级吊死干无糖原味休闲小吃孕妇2斤,//item.taobao.com/item.htm?id=570582924383&ns=1&abbucket=10#detail,29.5,0.0,新疆 乌鲁木齐,0,0.0,3660650062,新疆丝绸之路,[],//item.taobao.com/item.htm?id=570582924383&ns=1&abbucket=10&on_comment=1,//store.taobao.com/shop/view_shop.htm?user_number_id=3660650062,False
天山风味新疆天山无核杏干软糯酸甜杏肉脯比赞灯火890后怀旧零食,//item.taobao.com/item.htm?id=661223344518&ns=1&abbucket=10#detail,30.48,100.0,江苏 徐州,0,,2212498172451,天宏电子百货,[],//item.taobao.com/item.htm?id=661223344518&ns=1&abbucket=10&on_comment=1,//store.taobao.com/shop/view_shop.htm?user_number_id=2212498172451,False
思路丝路印象干果新疆杏干来自新疆的礼物杏铺杏条无核杏肉脯果脯,//item.taobao.com/item.htm?id=662388773864&ns=1&abbucket=10#detail,18.52,25.0,新疆 乌鲁木齐,0,,2211675776058,tb9571467510,[],//item.taobao.com/item.htm?id=662388773864&ns=1&abbucket=10&on_comment=1,//store.taobao.com/shop/view_shop.htm?user_number_id=2211675776058,False
